cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,8.703703703703704,250.26936026936028,124.83635252525252,126.23232323232324,-2.6015183497102856,-0.34436256170135826,0.0,117.3030303030303,6.975884883151301,265.2414463260707,0.9991371873152135,0.0005502664974833274,0.0003125461873031542,0.0,0.0,0.0,0.0,155.56228956228955,155.56228956228955,155.56228956228955,8.483097273735645,881.3905723905724,675.6296296296297,475.3636363636364,406.026936026936
1,26.691860465116278,1000.3139534883721,170.05424418604653,121.68604651162791,1.765804020253217,0.009507370566092797,0.0,125.8313953488372,7.159869103738186,285.70735704723575,0.9994673244840865,0.00025456135628942173,0.0002781141596240438,0.0,0.0,0.0,0.0,150.0174418604651,150.0174418604651,150.0174418604651,8.705849158313875,924.703488372093,696.4186046511628,503.2906976744186,421.41279069767444
2,15.707317073170731,442.780487804878,128.375,113.2439024390244,-1.708594865759462,-0.9881048391350351,0.0,140.26829268292684,8.12352331398538,344.09809962736097,0.9992581364691365,0.00045463597477721836,0.0002872275560862203,0.0,0.0,0.0,0.0,163.29268292682926,163.29268292682926,163.29268292682926,7.61062457265873,1046.0975609756097,809.0243902439024,566.4146341463414,479.6829268292683
3,11.73758865248227,456.4468085106383,214.25602836879432,127.42553191489361,-0.1628430125932975,3.226182318460008,0.0,113.47517730496453,6.802644465143577,231.3701059874105,0.9989496000915942,0.0005493522530694497,0.0005010476553363775,0.0,0.0,0.0,0.0,155.59574468085106,155.59574468085106,155.59574468085106,8.392379627466175,843.8510638297872,657.0992907801418,469.56028368794324,374.290780141844
4,17.0,563.875,112.0,131.25,-1.5723169712096032,-3.9438188862247348,0.0,145.25,7.408705816073136,342.959976045149,0.9997949138638228,0.00020508613617719443,0.0,0.0,0.0,0.0,0.0,158.5,158.5,158.5,9.149775813192852,873.125,656.75,469.125,404.0
5,26.184,880.856,115.20476,127.704,0.23451231468023745,-2.197701574325243,0.0,126.136,7.312868521037795,318.7251704025084,0.9983918818911195,0.000727077034550812,0.0008810410743296281,0.0,0.0,0.0,0.0,155.104,155.104,155.104,9.277400498205662,896.856,686.92,478.016,418.84
6,31.837209302325583,1621.5348837209303,225.48837209302326,141.1860465116279,5.763856353436649,1.1057448865147903,0.0,134.2093023255814,7.444038957760208,308.7766112960737,0.999956815684048,3.2632676227125865e-05,1.0551639724813236e-05,0.0,0.0,0.0,0.0,163.62790697674419,163.62790697674419,163.62790697674419,8.78199914432737,915.953488372093,712.1395348837209,464.86046511627904,451.09302325581393
7,26.0,834.9555555555555,117.66111111111111,119.26666666666667,0.029822166370791138,-2.6466037210014255,0.0,113.86666666666666,6.1680193983261535,244.06787440346594,0.9986133103856746,0.00048620153271611066,0.0009004880816093831,0.0,0.0,0.0,0.0,149.2,149.2,149.2,9.527500956454544,787.1111111111111,630.5333333333333,416.6666666666667,370.44444444444446
8,27.606382978723403,1072.3297872340424,140.67796117021277,132.31382978723406,1.4811328624546511,-1.4015856662816097,0.0,120.09042553191489,7.094233977864406,268.23774035115173,0.9983545605084209,0.0005677631655371987,0.001077676326041899,0.0,0.0,0.0,0.0,154.56914893617022,154.56914893617022,154.56914893617022,9.282263408731257,896.6436170212766,681.6063829787234,478.88829787234044,417.75531914893617
9,37.0,2094.0,223.0,127.5,14.051132875006436,-2.861737654318816,0.0,159.0,9.79328165374677,306.21101591689296,0.9988189357513957,0.0,0.0011810642486043436,0.0,0.0,0.0,0.0,146.5,146.5,146.5,7.059800664451827,1247.5,872.0,706.0,541.5
10,22.15686274509804,975.2745098039215,236.70392156862744,129.3921568627451,2.6341267053770965,3.1273576808216665,0.0,133.2549019607843,7.203983863236126,301.0678957246288,0.99960507936509,0.00019893107779128978,0.00019598955711863054,0.0,0.0,0.0,0.0,164.64705882352942,164.64705882352942,164.64705882352942,8.777782071000045,920.2549019607843,736.8823529411765,455.6078431372549,464.6470588235294
11,24.83157894736842,844.2368421052631,139.19473684210527,122.36842105263158,0.37511421703001424,-0.9842074764832979,0.0,133.4578947368421,7.903972685716595,330.9147438808641,0.9992455663403554,0.0003860910655301026,0.00036834259411443844,0.0,0.0,0.0,0.0,163.0421052631579,163.0421052631579,163.0421052631579,8.998561889185954,1002.1631578947369,774.6789473684211,516.9473684210526,485.2157894736842
12,17.859060402684563,626.771812080537,147.61409395973155,124.64429530201342,-0.5493365416471279,-0.10518949005382686,0.0,112.54362416107382,6.271390960013596,256.92691865953805,0.9988013736901912,0.00046050673579352226,0.0007381195740153979,0.0,0.0,0.0,0.0,151.3288590604027,151.3288590604027,151.3288590604027,9.31009148552809,793.1208053691275,615.4563758389262,407.5436241610738,385.5771812080537
13,9.465753424657533,298.08561643835617,147.28253424657535,124.60958904109589,-1.9936347492658255,0.5543444295245721,0.0,124.86301369863014,7.278503931690553,290.9561604672795,0.9992677960503831,0.000342674915642893,0.00038952903397408104,0.0,0.0,0.0,0.0,156.8904109589041,156.8904109589041,156.8904109589041,8.763447504474648,922.5924657534247,708.8835616438356,477.99657534246575,444.59589041095893
14,6.5,139.5,132.5,105.0,-3.662575953152735,-3.703381491057199,0.0,124.0,8.271082288934227,248.67686537322479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,157.0,6.273681142524046,1181.0,840.0,738.5,442.5
15,22.04225352112676,625.2253521126761,86.85915492957747,128.07042253521126,-1.513945753439706,-2.9503063694958827,0.0,139.80281690140845,7.832116082186862,318.02191566083053,0.9994446113020405,0.00023653583317122804,0.00031885286478812127,0.0,0.0,0.0,0.0,152.0281690140845,152.0281690140845,152.0281690140845,9.300414220779475,986.2957746478874,745.0422535211268,538.9718309859155,447.32394366197184
16,10.133738601823708,345.90881458966567,180.29075987841946,123.73252279635258,-1.2034279884511623,1.9294169791046338,0.0,124.48024316109422,6.978960422408165,278.3969320995933,0.9992107765209229,0.00022476290797304252,0.0005644605711040469,0.0,0.0,0.0,0.0,157.41033434650456,157.41033434650456,157.41033434650456,9.573927524452904,893.9057750759879,686.8723404255319,480.8905775075988,413.01519756838906
17,29.853211009174313,1327.9633027522937,175.75229357798165,135.25688073394497,3.5913302709174153,-0.5310301432751171,0.0,115.81651376146789,6.884132153733921,248.4577588062649,0.9990114253328417,0.0008286372322758459,0.00015993743488237395,0.0,0.0,0.0,0.0,153.85321100917432,153.85321100917432,153.85321100917432,8.415013411464946,871.9724770642201,667.1467889908257,474.9816513761468,396.9908256880734
18,9.131868131868131,231.17582417582418,90.97802197802197,128.0879120879121,-3.312292980019711,-1.8372400472526145,0.0,113.62637362637362,6.7450391740961315,271.97464741615653,0.9994281657031887,0.00030846411334378807,0.00026337018346749876,0.0,0.0,0.0,0.0,151.8131868131868,151.8131868131868,151.8131868131868,7.843665273112649,865.7362637362637,679.8681318681319,435.15384615384613,430.5824175824176
